SKU,Attribute_set_code,Name,Brand,Style_code,size,product_type,measuring_unit,price,shape_type,length_type,color,ideal_for,pattern,occasion,brand_color,fabric,pack_of,neck_type,sleeve_length,suitable_for,fabric_care,model_name,pockets,description,search_title,type
KK0001-L,Default,Off-White Printed Asymmetric Women's Kurti,Kiaasa,KK0001,L,simple,Regular,1699,Asymmetric,Calf Length,White,Women's,Printed,Casual,Off-White,Art Linen,1,"Mandarin Collar

",Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An elegant, modern Printed sleevless kurta with buttons detaling.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0001-M,Default,Off-White Printed Asymmetric Women's Kurti,Kiaasa,KK0001,M,simple,Regular,1699,Asymmetric,Calf Length,White,Women's,Printed,Casual,Off-White,Art Linen,1,"Mandarin Collar

",Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An elegant, modern Printed sleevless kurta with buttons detaling.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0001-S,Default,Off-White Printed Asymmetric Women's Kurti,Kiaasa,KK0001,S,simple,Regular,1699,Asymmetric,Calf Length,White,Women's,Printed,Casual,Off-White,Art Linen,1,"Mandarin Collar

",Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An elegant, modern Printed sleevless kurta with buttons detaling.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0001-XL,Default,Off-White Printed Asymmetric Women's Kurti,Kiaasa,KK0001,XL,simple,Regular,1699,Asymmetric,Calf Length,White,Women's,Printed,Casual,Off-White,Art Linen,1,"Mandarin Collar

",Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An elegant, modern Printed sleevless kurta with buttons detaling.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0001-XXL,Default,Off-White Printed Asymmetric Women's Kurti,Kiaasa,KK0001,XXL,simple,Regular,1699,Asymmetric,Calf Length,White,Women's,Printed,Casual,Off-White,Art Linen,1,"Mandarin Collar

",Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An elegant, modern Printed sleevless kurta with buttons detaling.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0002-L,Default,Blue Printed A-line Women's Kurti,Kiaasa,KK0002,L,simple,Regular,1799,A-line,Calf Length,Blue,Women's,Printed,Casual,Blue,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0002-M,Default,Blue Printed A-line Women's Kurti,Kiaasa,KK0002,M,simple,Regular,1799,A-line,Calf Length,Blue,Women's,Printed,Casual,Blue,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0002-S,Default,Blue Printed A-line Women's Kurti,Kiaasa,KK0002,S,simple,Regular,1799,A-line,Calf Length,Blue,Women's,Printed,Casual,Blue,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0002-XL,Default,Blue Printed A-line Women's Kurti,Kiaasa,KK0002,XL,simple,Regular,1799,A-line,Calf Length,Blue,Women's,Printed,Casual,Blue,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0002-XXL,Default,Blue Printed A-line Women's Kurti,Kiaasa,KK0002,XXL,simple,Regular,1799,A-line,Calf Length,Blue,Women's,Printed,Casual,Blue,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-L,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,L,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-M,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,M,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-S,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,S,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-XL,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,XL,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-XXL,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,XXL,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
